Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,,,,
Date,,,,,,,,,
2019-11-14,1025.666259765625,1052.7486519164204,1020.8353942245797,1040.3542354143422,22696,1069.3013706110553,1104.3942871117072,1150.779358929305,1193.9342389566355
2019-11-15,1003.95166015625,1054.06638576934,992.0939985599848,1033.5227554879432,33358,1063.0775886629785,1100.4553605644344,1147.8718797456802,1192.0438650382237
2019-11-18,1000.438232421875,1026.691098988892,991.8499537733466,999.0719492089154,33538,1057.1119356876354,1096.5331202451184,1144.9524015808524,1190.1373413305982
2019-11-19,997.5592651367188,1022.7873451967783,992.7283397131298,1004.2444448544704,27480,1051.4402527780244,1092.6517925938088,1142.0337256116618,1188.2211415674751
2019-11-20,984.7744750976562,1008.0018877825472,981.3098921654763,990.5813431605753,23511,1045.09113109418,1088.4213095547439,1138.919681047028,1186.1967966274772
2019-11-21,988.4341430664062,995.5585084549386,974.0877823396595,989.6052854951408,26319,1039.6952274724872,1084.50024420226,1135.9397694038473,1184.2290090298545
2019-11-22,982.920166015625,993.5091145790723,977.0156683197599,993.3139142345609,12325,1034.2880787623099,1080.5167117243527,1132.909678247645,1182.2259359650363
2019-11-25,995.9977416992188,1014.9798282858047,980.187467076026,984.6768366719742,24747,1030.6413799943964,1077.2022423116025,1130.1985507912402,1180.37291910667
2019-11-26,993.8995361328125,1014.882292922464,991.1180651903934,995.9977760717077,13482,1027.1421567694836,1073.9354695202774,1127.4995604019643,1178.5174625596665
2019-11-27,1014.1015014648438,1040.305525327552,1000.3407404714138,1001.9510689047399,52601,1025.9001895976132,1071.5890394004564,1125.2540542843976,1176.8814828472803
2019-11-28,1006.4892578125,1023.7633874302976,1001.9022579044043,1023.7633874302976,16037,1024.0515294276024,1069.0361067891638,1122.9022761364392,1175.1860378220586
2019-11-29,1023.3729858398438,1029.6190398609754,1003.9029862466122,1010.1490402677438,46220,1023.9869062287682,1067.2453961637004,1120.931399100863,1173.675460190395
2019-12-02,996.4857177734375,1019.8106993581954,995.4609904319374,1014.9798333815833,10667,1021.3677454234987,1064.470506815063,1118.4671281834883,1171.912378176296
2019-12-03,988.7269897460938,1014.8822875858306,985.7015928423008,996.7297274627244,10837,1018.2591020256506,1061.5001728123582,1115.8980165312626,1170.089637992911
2019-12-04,989.5078125,1006.196400159935,984.4329011871944,985.7016141236998,11542,1015.5208839755885,1058.6769429961873,1113.3952402138118,1168.2928039084045
2019-12-05,1001.5117797851562,1031.2780151553343,991.362017235066,991.362017235066,91289,1014.1866835764997,1056.4351718898724,1111.1797261459178,1166.633291230561
2019-12-06,994.0946655273438,1026.6911576678458,988.8246135759624,1009.8561553201554,30998,1012.2731580480087,1053.9904461501656,1108.8612100940647,1164.916488984758
2019-12-09,981.3097534179688,1004.1468217299907,977.8939561658923,998.388739678351,14464,1009.3242623689573,1051.1402229057658,1106.3354386747362,1163.0895562925512
2019-12-10,961.5469970703125,989.4101333592982,957.3992429596311,984.5304226408496,15660,1004.7740466262293,1047.6267630690813,1103.4683408211831,1161.0841576933249
2019-12-11,945.1023559570312,968.9640927114834,939.8322447764332,966.182681545866,24240,999.0910284672581,1043.606198084295,1100.3323807248632,1158.9350850392323
2019-12-12,947.10302734375,958.3263615469026,943.7360151694484,947.6397835879362,14039,994.1397902650192,1039.8217600160385,1097.298136103455,1156.8273033706205
2019-12-13,940.9058227539062,958.3752114325985,938.3683969373151,949.5917318980838,33542,989.0698885972942,1035.9427036528177,1094.2012586113847,1154.6788309266733
2019-12-16,966.3779907226562,972.8191854983874,937.2460799397072,948.6158305419499,24440,986.9087554663763,1033.2146756947723,1091.670104791806,1152.8051907256383
2019-12-17,967.549072265625,987.6046715540234,961.3030186729156,969.1105558804114,18223,985.0649761139239,1030.6395539916684,1089.2122625635645,1150.9618462633498
2019-12-18,967.1099243164062,973.4535485463067,962.278998566433,969.8913357289567,8044,983.354971180827,1028.1481959651876,1086.7943944794622,1149.1324739056688
2019-12-19,971.9408569335938,980.8706922879381,958.375236580938,967.1587163459363,19618,982.2679126810905,1025.9439865913996,1084.5200670033064,1147.3693732392799
2019-12-20,958.7167358398438,980.7242787144023,957.3992377797033,970.4280415007576,19493,980.0249434581146,1023.3076238168288,1082.0289119307627,1145.4922325686387
2019-12-23,965.59716796875,972.0383622048411,957.448015437105,968.9153354731561,17996,978.6508696019847,1021.0444686855317,1079.7233328424059,1143.7022319258538
2019-12-24,955.349853515625,970.0865570648457,951.5436550686363,967.1587304338652,10945,976.4317252128076,1018.468209267104,1077.2604916676182,1141.8280789068465
2019-12-26,1070.12060546875,1104.7665530238257,951.5924152296479,959.0583967689341,470815,985.3544757133735,1020.4937934318745,1077.119107782492,1141.1145717084576
2019-12-27,1086.3699951171875,1102.8145960187194,1044.3069135559288,1080.2703568648715,176534,994.9750013708797,1023.077173890122,1077.3022936703078,1140.5698495533204
2019-12-30,1077.92822265625,1108.7679741450056,1063.777059932379,1085.2477895823902,108986,1002.8753081599625,1025.2281954103623,1077.3146883036927,1139.9465497832005
2019-12-31,1058.5556640625,1086.1747550943924,1049.137798601827,1077.9280916797377,40218,1008.1781991982995,1026.535154965348,1076.9432224771344,1139.1366902237905
2020-01-01,1065.5823974609375,1087.0043988282052,1058.897217655447,1063.825773096116,32812,1013.645265699503,1028.0664193769398,1076.7182556451305,1138.4048067137126
2020-01-02,1047.429931640625,1070.3157278231854,1042.3062352594338,1065.9239880678788,36133,1016.8628529319909,1028.8257727990451,1076.13828883316,1137.4995840761694
2020-01-03,1068.9981689453125,1100.8627027405335,1044.2580602237329,1047.6738576169882,73879,1021.8281211237359,1030.4011608832125,1075.9969003205294,1136.8179779554644
2020-01-06,1150.0989990234375,1188.6975593808986,1115.0627705357297,1122.3334920263,597733,1034.0443952094217,1035.0951937514567,1077.4642686116763,1136.9501274188274
2020-01-07,1119.649658203125,1180.8900295713936,1109.6462509278301,1157.4674174146055,208622,1042.1972773992984,1038.4110551025026,1078.299622861012,1136.7779834465318
2020-01-08,1095.4951171875,1121.3575854329065,1088.1755507029509,1095.9830882864699,48129,1047.2732621410319,1040.6496457725025,1078.6401276991603,1136.3672086578847
2020-01-09,1115.2579345703125,1127.2132263650938,1107.694382618512,1119.0641329276095,40098,1053.7479928485825,1043.5754610194754,1079.3652327857178,1136.15716612965
2020-01-10,1135.167236328125,1169.178799446924,1110.2807092948224,1124.1878861663738,109163,1061.5022065133007,1047.1672953453049,1080.4702229548743,1136.1473160818737
2020-01-13,1235.493896484375,1253.5001003309894,1125.5541104316733,1140.5835239835644,397161,1078.072843653403,1054.5526522527196,1083.5399986683299,1137.1358392699583
2020-01-14,1242.4232177734375,1261.014844491159,1219.9277032716818,1250.1819103128196,151375,1093.7252602362635,1061.9201254103948,1086.686201026847,1138.1834748769581
2020-01-15,1240.861572265625,1251.987336362955,1208.6067563822594,1244.03338418488,59541,1107.7382423342979,1068.9374370517764,1089.7391786751396,1139.2051474877908
2020-01-16,1340.6029052734375,1361.2441047581394,1224.7585051595702,1250.1818448172794,399788,1129.9158292808827,1079.590984825175,1094.7067772216403,1141.2091052767028
2020-01-17,1370.759521484375,1390.1319483041657,1324.8902428755289,1342.701186165134,204073,1152.8533237764534,1091.0093588118102,1100.17316819714,1143.4931890200626
2020-01-20,1431.02392578125,1451.2258792716907,1363.8790627318008,1374.1264546163688,293212,1179.3457620626245,1104.343263398847,1106.7246683473204,1146.3541913758952
2020-01-21,1432.292724609375,1467.8170439137891,1415.4577219448054,1424.8755878418433,199225,1203.435948971839,1117.2040265835738,1113.1715605505294,1149.1993509105569
2020-01-22,1423.314208984375,1463.181426287453,1407.3087321704234,1439.4172561971434,82256,1224.3767356396995,1129.2083474620365,1119.3129991333778,1151.9268619361671
2020-01-23,1434.00048828125,1458.057484662806,1406.9180952428344,1427.9008502095348,91250,1244.3409025579424,1141.160980435339,1125.5444345620485,1154.7335646858696
2020-01-24,1396.8172607421875,1438.5387894036573,1378.0792183301126,1438.4899446406844,51660,1258.8624604802515,1151.1867169179607,1130.9161736943286,1157.142357681455
2020-01-27,1313.8623046875,1416.0434145462546,1292.2451591903452,1388.765875261142,102561,1264.1005408809417,1157.5661517324525,1134.5388693575596,1158.7017601392265
2020-01-28,1285.413330078125,1334.1128652250488,1269.798256308117,1311.6173519217077,159279,1266.1303303282925,1162.5797665695377,1137.5264824411352,1159.9625717804097
2020-01-29,1281.9488525390625,1330.5019742649658,1275.7027989827866,1298.1006235627178,78704,1267.6368562531277,1167.2609071957936,1140.3863313539653,1161.1763656188043
2020-01-30,1232.2244873046875,1293.0257285613789,1202.5070976351653,1288.9267002091133,377871,1264.2642496866097,1169.808498572613,1142.2049086995241,1161.883312103241
2020-01-31,1229.9310302734375,1274.580381303003,1217.975739560603,1223.8313921546444,63976,1260.9944192663074,1172.1662449138219,1143.94205962178,1162.5604038263275
2020-02-03,1198.2618408203125,1211.9250311642907,1137.2166105943265,1171.1306009124153,84708,1255.0198879857364,1173.1896016160372,1145.017698853434,1162.9156420053723
2020-02-04,1296.685546875,1310.3974624485102,1205.28854172629,1207.2404260043893,240080,1258.98804597519,1178.0325798614867,1148.0210225766334,1164.246685834921
2020-02-05,1311.4222412109375,1340.9444907340117,1265.650531346798,1300.6868777480015,208469,1263.9817788547853,1183.26354697323,1151.256690272362,1165.711119221747
2020-02-06,1360.3658447265625,1379.9822589514213,1290.0004365374364,1315.5700743044667,169927,1273.1612136997164,1190.2087351204195,1155.3974656080886,1167.6479821620933
